,Na+,soma size,name,scores,sp,fi
4,0,28.52,20160111_sham1.CNG.swc,220.3880135,13.97624039,"[13.97624039133473, 19.065776930409914, 25.657472738935216, 33.277870216306155, 41.58004158004158, 50.314465408805034, 59.347181008902076, 68.25938566552901, 76.92307692307692, 85.1063829787234, 92.80742459396751]"
13,50,19.04,20160111_sham2.CNG.swc,220.4472223,0,"[0, 15.618898867629833, 29.304029304029303, 45.40295119182747, 62.99212598425197, 80.16032064128257, 95.23809523809524, 108.10810810810811, 119.40298507462687, 129.44983818770226, 137.93103448275863]"
9,50,19.42,20160111_sham3.CNG.swc,219.0081344,0,"[0, 14.487504527345164, 29.11208151382824, 45.35147392290249, 62.69592476489028, 79.36507936507937, 93.89671361502347, 106.38297872340425, 116.95906432748538, 126.58227848101266, 135.13513513513513]"
20,50+,17.49,20160111_sham4.CNG.swc,358.6037927,0,"[0, 0, 25.046963055729492, 50.63291139240506, 77.82101167315174, 99.50248756218906, 116.27906976744185, 129.44983818770226, 140.8450704225352, 150.9433962264151, 160.0]"
22,0,22.53,20160111_sham5.CNG.swc,149.272798,16.21402513,"[16.214025131738953, 22.396416573348265, 29.850746268656717, 38.350910834132314, 47.67580452920143, 57.55395683453237, 67.45362563237774, 77.07129094412332, 86.02150537634408, 94.33962264150944, 102.04081632653062]"
18,50,15.19,20160111_sham6.CNG.swc,390.0961666,0,"[0, 11.15137998327293, 31.421838177533385, 64.62035541195476, 97.0873786407767, 119.40298507462687, 135.59322033898306, 148.6988847583643, 160.0, 169.4915254237288, 178.57142857142858]"
14,50,21.5,20160111_sham7.CNG.swc,213.1811869,0,"[0, 0, 26.402640264026402, 41.84100418410042, 58.13953488372093, 74.21150278293135, 88.69179600886918, 101.01010101010101, 111.73184357541899, 121.21212121212122, 129.44983818770226]"
6,50,13.92,20160111_sham8.CNG.swc,384.5480711,0,"[0, 13.75515818431912, 33.869602032176125, 64.82982171799027, 95.23809523809524, 117.30205278592375, 133.77926421404683, 147.05882352941177, 158.10276679841897, 167.36401673640168, 176.21145374449338]"
1,50,17.17,20160111_sham9.CNG.swc,313.5386509,0,"[0, 13.25820351342393, 29.04865649963689, 50.955414012738856, 75.32956685499059, 95.92326139088729, 112.35955056179775, 125.78616352201257, 137.4570446735395, 147.05882352941177, 156.25]"
15,0,15.75,20160119_sham1.CNG.swc,246.1956432,7.61614623,"[7.616146230007616, 16.9061707523246, 32.520325203252035, 53.333333333333336, 75.90132827324479, 95.23809523809524, 110.80332409972299, 123.83900928792569, 134.68013468013467, 144.4043321299639, 153.25670498084293]"
21,50,13.92,20160119_sham2.CNG.swc,270.9040774,0,"[0, 15.037593984962406, 31.34796238244514, 53.05039787798408, 74.34944237918215, 91.74311926605505, 105.82010582010582, 117.6470588235294, 128.2051282051282, 136.986301369863, 145.45454545454547]"
23,0,20.04,20160119_sham3.CNG.swc,87.85254441,14.90312966,"[14.903129657228018, 22.3463687150838, 31.645569620253166, 42.14963119072708, 53.333333333333336, 64.72491909385113, 75.61436672967864, 85.65310492505353, 94.7867298578199, 103.09278350515464, 110.80332409972299]"
