Seg,Tree 1
1_1,20
1_2,40
2_1,60
2_2,80
3_1,60
3_2,80
4_1,105
4_2,130
4_3,155
4_4,180
5_1,104
5_2,128
5_3,152
5_4,176
5_5,200
5_6,224
5_7,248
5_8,272
5_9,296
5_10,320
5_11,344
5_12,368
6_1,205
6_2,230
6_3,255
6_4,280
6_5,305
6_6,330
7_1,205
7_2,230
7_3,255
7_4,280
7_5,305
7_6,330
8_1,104
8_2,128
8_3,152
8_4,176
8_5,200
8_6,224
8_7,248
8_8,272
8_0,296
8_10,320
8_11,344
8_12,368
9_1,105
9_2,130
9_3,155
9_4,180
10_1,205
10_2,230
10_3,255
10_4,280
10_5,305
10_6,330
11_1,205
11_2,230
11_3,255
11_4,280
11_5,305
11_6,330
